feature,importance
object_map,0.12350379468819615
wmc,0.1180951786691341
cyclomatic,0.0940758812128908
methods,0.08822909676441587
files,0.08804233858047872
classes,0.08741248819492312
bytecode,0.07354223023905439
no_action,0.05987848615072283
network_security_score,0.03325786199112511
poly_network_op http_clients,0.023106046025903743
network_op,0.021820538845660202
http_clients,0.020647332355919097
views_out_contr,0.014833242082774398
catch,0.014628558984494689
contr_views,0.01299466066508615
con_timeout,0.009925498214909005
exception_ratio,0.006953964164094564
lock_listener,0.0067712649640465925
bundles,0.006430451119474713
socket_timeout,0.006145231474296442
poly_http_clients fileio_op,0.005913097715488614
bitmap_decode_op,0.005902732386151082
dis_method,0.005626397070972529
timeout_wake_lock,0.005052667257295615
dom_parser,0.0048319990366272455
ui_manipulation_score,0.004547885017640167
fileio_op,0.004537586117416539
poly_sqllite_op fileio_op,0.00440920665311585
setcontentview,0.004224297482147068
poly_network_op fileio_op,0.003945391512470403
permission_score,0.0038946529770102537
bytecode_per_method,0.0032363256820729745
cbo,0.0031500462030742684
onkeydown,0.003094584712185442
unchecked_bundles,0.0029608092575288277
con_no_socket_timeout,0.002624443054898284
pot_bad_token,0.0024685348601248885
apd,0.002406066551324711
not_contr_views,0.002384366899128589
ppiv,0.001994668063244299
scaled_bitmap,0.0017543751836265019
poly_http_clients sqllite_op,0.0014674914087550329
show_method,0.0014346051114829757
unregister_recev,0.0014322375916036613
data_operation_score,0.0013115721198907302
create_method,0.001307627580741618
poly_network_op sqllite_op,0.001078563003357153
onbackpressed,0.001059855106900507
sqllite_op,0.0010344716864198235
start_service,0.0006192973097035058
